date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,0013.HK,0014.HK,0016.HK,0017.HK,0018.HK,0019.HK,0023.HK,0027.HK,0041.HK,0045.HK,0066.HK,0069.HK,0071.HK,0083.HK,0097.HK,0098.HK,0101.HK,0135.HK,0142.HK,0144.HK,0151.HK,0175.HK,0179.HK,0191.HK,0223.HK,0241.HK,0242.HK,0267.HK,0270.HK,0288.HK,0291.HK,0293.HK,0315.HK,0322.HK,0330.HK,0363.HK,0386.HK,0388.HK,0511.HK,0551.HK,0583.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0836.HK,0857.HK,0868.HK,0883.HK,0906.HK,0939.HK,0941.HK,0960.HK,0968.HK,0992.HK,1038.HK,1044.HK,1088.HK,1093.HK,1109.HK,1113.HK,1177.HK,1186.HK,1199.HK,1211.HK,1299.HK,1398.HK,1810.HK,1876.HK,1898.HK,1928.HK,1997.HK,2007.HK,2018.HK,2020.HK,2038.HK,2269.HK,2313.HK,2318.HK,2319.HK,2331.HK,2382.HK,2388.HK,2600.HK,2628.HK,3328.HK,3690.HK,3968.HK,3988.HK,6098.HK,6862.HK,9988.HK
2006-01-17,30.246016,23.324903,3.58414,2.486476,72.54528,14.390467,1.279645,11.142583,49.918705,12.013682,,11.440214,48.766052,20.219967,0.501687,40.585571,12.887573,4.519094,8.826916,6.438114,9.729022,10.636703,5.972984,4.986408,-0.824272,,8.120648,1.001708,-1.752819,9.674879,,0.38161,23.306898,2.235008,1.943158,1.32,5.235684,12.599425,1.663395,,6.110123,10.398821,1.918691,3.526737,46.0938,8.704659,1.456249,22.103313,21.143904,10.370312,0.164349,14.554491,2.542395,1.961809,4.899677,,2.609025,4.176157,0.496083,3.03594,,1.442146,21.176109,,,2.115007,12.74385,5.796063,3.556707,0.479544,2.446122,,0.174223,14.457242,7.575909,2.930948,,,,,,,,,4.182739,,12.761738,,1.952582,6.287236,3.328982,4.600319,,7.666975,5.587228,5.593468,1.77381,,,,,,
2006-01-18,30.264376,23.271898,3.58414,2.477705,72.21022,14.370855,1.273183,10.940602,49.773464,12.029341,,11.557854,48.433693,20.035313,0.498551,40.474232,12.914704,4.609476,8.746486,6.438114,9.668966,10.306884,6.02778,4.986408,-0.841209,,7.913187,1.051175,-1.723605,9.543784,,0.394053,22.705429,2.235008,1.943158,1.34,5.137516,12.515804,1.761241,,6.073314,10.288195,1.918691,3.587543,45.647717,8.678439,1.491767,21.847044,20.586218,10.301783,0.162945,14.277634,2.542395,1.923153,4.825997,,2.566717,4.233364,0.496083,3.086121,,1.442146,20.786024,,,2.055007,12.716561,5.826096,3.669619,0.475645,2.411669,,0.167606,14.457242,7.499126,2.961692,,,,,,,,,4.182739,,12.365684,,1.968991,6.36632,3.418954,4.639641,,7.642324,5.816214,5.70685,1.795443,,,,,,
2006-01-19,30.64979,23.324903,3.625816,2.504017,72.657021,14.48849,1.279645,11.142583,50.112373,12.264289,,11.763721,48.91713,20.958591,0.49228,40.474232,12.968968,4.609476,8.847022,6.675103,9.759048,10.471795,6.02778,5.181955,-0.866615,,8.09101,1.063542,-1.752819,9.674879,,0.377462,23.006166,2.257585,1.961842,1.31,5.301131,12.655174,1.747264,,6.073314,10.435697,1.896762,3.547005,45.796421,8.73088,1.562804,22.391615,21.119667,10.233258,0.165754,14.317187,2.574577,1.942481,5.047036,,2.580819,4.261969,0.473787,3.111211,,1.478811,21.176109,,,2.145007,12.989448,5.796063,3.763712,0.491241,2.670063,,0.176428,14.457242,7.601505,3.002684,,,,,,,,,4.376386,,12.321678,,2.001807,6.662887,3.418954,4.639641,,7.71628,6.090995,5.858024,1.892786,,,,,,
2006-01-20,30.64979,23.324903,3.511207,2.543485,72.54528,14.547301,1.286108,11.378227,50.112373,12.248626,,11.822536,48.554546,20.312298,0.482874,40.140194,12.996099,4.519094,8.847022,6.793596,9.729022,10.636703,5.972984,5.157513,,,8.268834,1.026441,-1.767425,9.570003,,0.369166,22.555063,2.212433,1.961842,1.29,5.497469,12.710926,1.77522,,5.962891,10.472573,1.885799,3.567275,46.428349,8.91441,1.589442,22.423649,20.537725,10.324626,0.164349,14.000784,2.574577,1.923153,5.083876,,2.580819,4.319176,0.473787,3.161391,,1.478811,21.231831,,,2.220007,13.016734,5.796063,3.744895,0.495139,2.756195,,0.172017,14.457242,7.627095,3.033428,,,,,,,,,4.64749,,12.453695,,1.985399,6.386091,3.418954,4.600319,,7.617671,6.090995,5.744643,1.860338,,,,,,
2006-01-23,30.190962,23.192375,3.448693,2.486476,71.81929,14.331641,1.26672,11.041594,49.870262,12.123324,,11.29317,48.040905,20.127645,0.470331,39.77832,12.941842,4.496499,8.585634,6.596107,9.518823,10.471795,5.972984,5.108625,-0.722649,,8.031737,1.075908,-1.723605,9.412689,,0.365018,22.855801,2.144706,1.924474,1.26,5.661084,12.571548,1.747264,,5.797256,10.214445,1.929654,3.526737,46.911587,8.757099,1.571683,22.423649,20.392237,10.233258,0.162945,13.209778,2.494121,1.865168,4.936517,,2.524408,4.319176,0.457065,3.161391,,1.466589,20.730297,,,2.175007,12.798425,5.766032,3.688437,0.483443,2.756195,,0.163196,14.457242,7.473532,3.125661,,,,,,,,,4.260198,,11.793606,,1.968991,6.50472,3.373968,4.836233,,7.51906,6.136792,5.82023,1.871154,,,,,,
2006-01-24,30.356138,23.271898,3.511207,2.508402,71.81929,14.233616,1.260257,11.176247,49.870262,12.326942,,11.322578,48.191982,20.312298,0.482874,40.335056,12.860437,4.564286,8.86713,6.596107,9.638939,10.595476,5.972984,5.13307,-0.733941,,8.150285,1.063542,-1.723605,9.386469,,0.38161,22.555063,2.235008,1.943158,1.27,5.693807,12.710926,1.789198,,5.999699,10.214445,1.918691,3.62808,47.952423,8.757099,1.589442,23.128384,20.392237,10.438839,0.160135,13.684386,2.558485,1.884496,4.936517,,2.637231,4.319176,0.457065,3.211573,,1.466589,20.758162,,,2.085007,12.962159,5.736001,3.744895,0.495139,2.91123,,0.167606,14.457242,7.652694,3.279382,,,,,,,,,4.453843,,12.321678,,1.968991,6.68266,3.418954,4.993509,,7.543714,6.182589,5.82023,1.903601,,,,,,
2006-01-25,30.1359,23.404421,3.521626,2.552255,71.651741,14.253219,1.279645,11.344563,49.821873,12.373934,,11.528445,48.191982,20.404627,0.473467,40.056679,12.996099,4.564286,9.027984,6.477613,9.668966,10.513021,6.02778,5.13307,-0.748056,,8.298471,1.063542,-1.752819,9.832192,,0.48116,22.855801,2.257585,1.943158,1.28,5.759253,12.710926,1.803176,,6.036508,10.251317,1.962546,3.790229,48.361309,8.73088,1.589442,23.512791,20.367994,10.507362,0.160135,13.44708,2.574577,1.903825,4.936517,,2.679539,4.319176,0.462639,3.186483,,1.466589,20.730297,,,2.085007,12.989448,5.766032,3.707255,0.510734,2.980135,,0.177531,14.457242,7.883039,3.269134,,,,,,,,,4.686218,,12.18966,,1.968991,6.643115,3.508927,5.032828,,7.51906,6.274183,5.782437,1.903601,,,,,,
2006-01-26,30.117548,23.430923,3.490368,2.504017,71.87513,14.351252,1.292571,11.344563,49.870262,12.373934,,11.29317,48.161766,20.866268,0.470331,40.140194,12.996099,4.564286,8.907343,6.517112,9.668966,10.100744,5.918185,5.157513,-0.736764,,8.387385,1.051175,-1.782032,9.779754,,0.489456,22.555063,2.618798,1.943158,1.25,5.72653,12.766672,1.761241,,5.999699,10.435697,1.984474,3.709155,49.141933,8.73088,1.598322,23.672962,20.077021,10.598731,0.165754,12.300124,2.558485,1.884496,5.010196,,2.665437,4.204761,0.462639,3.161391,,1.466589,20.618837,,,2.040007,12.962159,5.675939,3.726075,0.506835,2.928456,,0.17312,14.457242,7.780664,3.217893,,,,,,,,,4.570031,,11.617581,,1.985399,6.583803,3.621392,5.072148,,7.51906,6.31998,5.744643,1.903601,,,,,,
2006-01-27,30.576376,23.457436,3.552883,2.622421,72.433571,14.586514,1.3572,11.714862,50.112373,12.358271,,11.587263,48.463905,20.958591,0.470331,40.223705,13.104627,4.654667,9.088305,6.596107,9.819103,10.389338,,5.304171,-0.739587,,8.950497,1.051175,-1.752819,10.566332,,0.514344,23.006166,2.754253,1.943158,1.27,5.595639,12.822429,1.77522,,6.073314,10.435697,1.940618,3.769961,50.219933,8.783315,1.678238,24.249569,20.416481,10.987045,0.168563,11.865069,2.590668,1.932817,5.083876,,2.820568,4.319176,0.479361,3.261755,,1.491032,21.036789,,,1.875005,13.153177,5.525782,3.876623,0.506835,2.928456,,0.17312,14.457242,8.087794,3.279382,,,,,,,,,4.570031,,12.101647,,1.968991,6.801287,3.733858,5.111468,,7.666975,6.548964,5.858024,1.946865,,,,,,
2006-02-01,30.374489,23.324903,3.500788,2.609265,71.87513,14.586514,1.3572,11.81585,50.112373,12.311282,,11.822536,48.10133,22.066542,0.486009,40.08453,13.050362,4.654667,9.148625,6.517112,9.759048,10.141974,5.972984,5.328614,-0.731118,,8.950497,1.162476,-1.796638,10.907182,,0.506048,22.555063,2.754253,1.980526,1.25,5.72653,12.878175,1.84511,,6.275758,10.435697,1.962546,3.871303,51.297928,8.861972,1.775913,24.217539,19.834541,10.872837,0.162945,11.19272,2.832035,1.971473,5.047036,,3.159036,4.490798,0.484935,3.412296,,1.503255,21.176109,,,1.905006,13.071311,5.645908,3.970717,0.514633,3.135171,,0.169812,14.457242,7.985418,3.279382,,,,,,,,,4.531301,,12.277672,,2.116665,6.840829,3.868817,5.150785,,7.642324,6.777949,6.009198,1.968497,,,,,,
